id,term,normalized,preferred_term,entry_terms,acronyms,departments,canonical_skill_ids,mesh_id,is_official_mesh_record,official_sync_required,priority,active,source,source_url,kind
meshlocal_cb51fbbdd0f87222,Abdominoplasty,abdominoplasty,Abdominoplasty,,,Medical Aesthetics | Plastic surgery,skill_cb51fbbdd0f87222,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_8d4077905c7aaf10,Abducens Nerve Palsy (Sixth Cranial Nerve Palsy),abducens nerve palsy sixth cranial nerve palsy,Abducens Nerve Palsy (Sixth Cranial Nerve Palsy),,,Neurology | Ophthalmology,skill_8d4077905c7aaf10,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_54ad0f4373da5338,Aberrometry and Wavefront Imaging,aberrometry and wavefront imaging,Aberrometry and Wavefront Imaging,,,Ophthalmology,skill_54ad0f4373da5338,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_3febacb3ca4eeae8,Abnormal (Dysfunctional) Uterine Bleeding,abnormal dysfunctional uterine bleeding,Abnormal (Dysfunctional) Uterine Bleeding,,,Endocrinology and diabetes mellitus | Gynaecology and Obstetrics | Occupational medicine / Occupational therapy,skill_3febacb3ca4eeae8,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_856bacd5941c3782,Abnormal (Dysfunctional) Uterine Bleeding in Emergency Medicine,abnormal dysfunctional uterine bleeding in emergency medicine,Abnormal (Dysfunctional) Uterine Bleeding in Emergency Medicine,,,Emergency medicine,skill_856bacd5941c3782,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_53745c9d44ee364a,Abnormal (Dysfunctional) Uterine Bleeding in Pediatrics,abnormal dysfunctional uterine bleeding in pediatrics,Abnormal (Dysfunctional) Uterine Bleeding in Pediatrics,,,Paediatric surgery,skill_53745c9d44ee364a,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_78bf8d0aec287165,Abnormal coagulation,abnormal coagulation,Abnormal coagulation,,,Acute internal medicine,skill_78bf8d0aec287165,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_6543b5ffc7d24513,Abnormal Labor,abnormal labor,Abnormal Labor,,,Gynaecology and Obstetrics | Occupational medicine / Occupational therapy,skill_6543b5ffc7d24513,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_18d9026b671f4b51,Abnormal Neonatal EEG,abnormal neonatal eeg,Abnormal Neonatal EEG,EEG | electroencephalogram | electroencephalography,EEG,Neurology,skill_18d9026b671f4b51,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_760e0f02fcba024c,Abnormal platelets,abnormal platelets,Abnormal platelets,,,Acute internal medicine,skill_760e0f02fcba024c,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_40eb980f8f7ae841,ABO Grouping,abo grouping,ABO Grouping,ABO,ABO,Pathology Histopatholog,skill_40eb980f8f7ae841,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_6cccc1a502f440f6,Abortion Care Medical and Surgical Options,abortion care medical and surgical options,Abortion Care Medical and Surgical Options,,,Genito-urinary medicine / sexual and reproductive health,skill_6cccc1a502f440f6,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_14471e042be1fbda,Abortion Complications,abortion complications,Abortion Complications,,,Emergency medicine,skill_14471e042be1fbda,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_07d65238b2cff7bb,Abruptio Placentae,abruptio placentae,Abruptio Placentae,,,Emergency medicine | Gynaecology and Obstetrics | Occupational medicine / Occupational therapy,skill_07d65238b2cff7bb,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_f0fce3f76e2ae32f,Absence Seizures,absence seizures,Absence Seizures,,,Emergency medicine | Neurology,skill_f0fce3f76e2ae32f,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_35471dbc39d7703f,Abuse and Neglect of Older Adults,abuse and neglect of older adults,Abuse and Neglect of Older Adults,,,Geriatric medicine,skill_35471dbc39d7703f,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_2a1fde483b60137d,Acalculous Cholecystitis,acalculous cholecystitis,Acalculous Cholecystitis,,,Gastro-enterology | Intensive Crtical Care,skill_2a1fde483b60137d,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_9a0904b7b9989fa5,Acalculous Cholecystopathy,acalculous cholecystopathy,Acalculous Cholecystopathy,,,Gastro-enterology | Intensive Crtical Care,skill_9a0904b7b9989fa5,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_8c13e189e550d930,Acanthamoeba Infection,acanthamoeba infection,Acanthamoeba Infection,,,Emergency medicine | Infectious diseases,skill_8c13e189e550d930,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_0ea33c25d4062d1a,Acanthocytosis,acanthocytosis,Acanthocytosis,,,Pediatrics Medicine,skill_0ea33c25d4062d1a,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_449e362203772872,Acanthosis Nigricans,acanthosis nigricans,Acanthosis Nigricans,,,Dermatology | Emergency medicine,skill_449e362203772872,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_8fb4c9cfef56cf8a,Accelerated Idioventricular Rhythm,accelerated idioventricular rhythm,Accelerated Idioventricular Rhythm,,,Cardiology | Intensive Crtical Care,skill_8fb4c9cfef56cf8a,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_495312c6dc418c5d,Acceptance and Commitment Therapy (ACT),acceptance and commitment therapy act,Acceptance and Commitment Therapy (ACT),ACT,ACT,Psychotherapy,skill_495312c6dc418c5d,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_8dbbcadf4e1e272a,Access to Healthcare for Older Adults,access to healthcare for older adults,Access to Healthcare for Older Adults,,,Psychiatry of learning disability/ Mental Health,skill_8dbbcadf4e1e272a,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_75dd54812066744f,Access to Menstrual Products and Global Disparities,access to menstrual products and global disparities,Access to Menstrual Products and Global Disparities,,,Genito-urinary medicine / sexual and reproductive health,skill_75dd54812066744f,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_ed610a10de2996a2,Accessory Nerve Injury,accessory nerve injury,Accessory Nerve Injury,,,Otolaryngology ENT Facial Plasty /Audiovestibular medicine,skill_ed610a10de2996a2,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_10f65d591a6abf09,"Accessory pathway tachycardia AV reentrant tachycardia,",accessory pathway tachycardia av reentrant tachycardia,"Accessory pathway tachycardia AV reentrant tachycardia,",AV,AV,Acute internal medicine,skill_10f65d591a6abf09,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_e71dc9e62365b540,Accommodative Esotropia,accommodative esotropia,Accommodative Esotropia,,,Ophthalmology,skill_e71dc9e62365b540,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_8855aebf155ce79d,Accreditation and Certification,accreditation and certification,Accreditation and Certification,,,Radiotherapy,skill_8855aebf155ce79d,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_d5f1eb548bedc707,Acetabular Wear in Total Hip Arthroplasty,acetabular wear in total hip arthroplasty,Acetabular Wear in Total Hip Arthroplasty,,,Orthopaedic surgery,skill_d5f1eb548bedc707,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_3c83233a7b69ea18,Acetabulum Fractures,acetabulum fractures,Acetabulum Fractures,,,Orthopaedic surgery,skill_3c83233a7b69ea18,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_9fbba79a9131f37f,Acetaminophen Toxicity,acetaminophen toxicity,Acetaminophen Toxicity,,,Emergency medicine | Intensive Crtical Care,skill_9fbba79a9131f37f,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_3b1823671b8d0e36,Achalasia,achalasia,Achalasia,,,Gastro-enterology,skill_3b1823671b8d0e36,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_913ac454cc99b702,Achievement Motivation,achievement motivation,Achievement Motivation,,,Psychology,skill_913ac454cc99b702,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_9fe6d70484defd2b,Achilles Tendon Injuries,achilles tendon injuries,Achilles Tendon Injuries,,,Rehabilitation,skill_9fe6d70484defd2b,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_b5555ccdf28e2a89,Achlorhydria,achlorhydria,Achlorhydria,,,Gastro-enterology | Oncology,skill_b5555ccdf28e2a89,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_9a4a85a0c32296e9,Acholuric jaundice,acholuric jaundice,Acholuric jaundice,,,Acute internal medicine,skill_9a4a85a0c32296e9,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_19761815c3e5d4ba,Achondrogenesis,achondrogenesis,Achondrogenesis,,,Pediatrics Medicine,skill_19761815c3e5d4ba,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_f384ae9e68288464,Achondroplasia,achondroplasia,Achondroplasia,,,Neurology | Orthopaedic surgery,skill_f384ae9e68288464,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_fa6f84e70fd92f79,Acid Maltase Deficiency Myopathy,acid maltase deficiency myopathy,Acid Maltase Deficiency Myopathy,,,Rehabilitation,skill_fa6f84e70fd92f79,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_aaca9eb17ff600a9,Acid-Base Balance in Surgery,acid-base balance in surgery,Acid-Base Balance in Surgery,,,General surgery,skill_1fc52d05704d2e47,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_c67f2e3f128535d1,Acid-Base Regulation,acid-base regulation,Acid-Base Regulation,,,Nutritionist,skill_2070935c5ee30496,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_4a9d455b02df1ba1,"Acid-Base, Fluid, and Electrolyte Disorders",acid-base fluid and electrolyte disorders,"Acid-Base, Fluid, and Electrolyte Disorders",,,Nephrology Renal medicine,skill_c91a94820ed8168a,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_c51848559f75c622,Acinetobacter,acinetobacter,Acinetobacter,,,Infectious diseases,skill_c51848559f75c622,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_7751a1b74632cdda,Ackee Fruit Toxicity,ackee fruit toxicity,Ackee Fruit Toxicity,,,Emergency medicine | Intensive Crtical Care,skill_7751a1b74632cdda,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_32af82a9c1590474,Acne Conglobata,acne conglobata,Acne Conglobata,,,Dermatology,skill_32af82a9c1590474,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_21ca286ba86bdb98,Acne Fulminans,acne fulminans,Acne Fulminans,,,Dermatology,skill_21ca286ba86bdb98,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_5a5dbe38e3b47088,Acne Keloidalis Nuchae (AKN),acne keloidalis nuchae akn,Acne Keloidalis Nuchae (AKN),AKN,AKN,Dermatology,skill_5a5dbe38e3b47088,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_2119786a52be32b1,Acne Vulgaris,acne vulgaris,Acne Vulgaris,,,Dermatology,skill_2119786a52be32b1,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_abd9a7ff2d9baa13,Acneiform Eruptions,acneiform eruptions,Acneiform Eruptions,,,Dermatology,skill_abd9a7ff2d9baa13,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_91dfd413924889c1,Acoustic Neuroma,acoustic neuroma,Acoustic Neuroma,,,Neurology | Neuropathology | Otolaryngology ENT Facial Plasty /Audiovestibular medicine,skill_91dfd413924889c1,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_c0c592c6f216b780,Acoustic Neuroma (Vestibular Schwannoma),acoustic neuroma vestibular schwannoma,Acoustic Neuroma (Vestibular Schwannoma),,,Neuroradiology,skill_c0c592c6f216b780,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_509c993b4a7caa0c,Acquired Angioedema Due to C1 Inhibitor Deficiency,acquired angioedema due to c1 inhibitor deficiency,Acquired Angioedema Due to C1 Inhibitor Deficiency,C1,C1,Dermatology,skill_509c993b4a7caa0c,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_1d99e4038bf9f9d8,Acquired Cystic Kidney Disease,acquired cystic kidney disease,Acquired Cystic Kidney Disease,,,Nephrology Renal medicine,skill_1d99e4038bf9f9d8,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_78a8e19f82089648,Acquired Diaphragmatic Hernia,acquired diaphragmatic hernia,Acquired Diaphragmatic Hernia,,,Cardio-thoracic surgery,skill_78a8e19f82089648,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_8c819b2bdf3e1ae2,Acquired Digital Fibrokeratoma,acquired digital fibrokeratoma,Acquired Digital Fibrokeratoma,,,Dermatology | Orthopaedic surgery,skill_8c819b2bdf3e1ae2,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_13a031d0a30bf80a,Acquired Epileptic Aphasia,acquired epileptic aphasia,Acquired Epileptic Aphasia,,,Neurology,skill_13a031d0a30bf80a,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
